rank,word,meaning_ko,example_en,pos,cefr,score,subtlex_count,opensubtitles_count,source
55,basically,기본적으로,"Basically, we need more time.",other,A2,77.03,1327,26461,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
56,likely,아마,It's likely to rain later.,other,A2,76.89,1314,24527,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
57,produce,생산하다,Is Tom buying fresh produce at the market?,verb,A2,76.55,1108,25078,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
58,generally,일반적으로,Psych wards are generally still abusive places.,adverb,B1,76.55,424,6401,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
59,therefore,따라서,"""I think, therefore I am,"" said René Descartes.",adverb,A2,76.01,1058,18733,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
60,common,흔한,Rape and pedophilia are very common in Algeria.,adjective,A2,75.98,2295,37535,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
61,necessary,필요한,I'm not sure the last paragraph is necessary.,adjective,A2,75.97,2347,36124,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
62,complex,복잡한,The apartment complex is full of roaches.,adjective,B1,75.84,694,12389,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
63,mean,야하다,Totalitarianism is when people are mean to me.,other,A2,75.38,76484,1025730,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
64,involve,포함하다,Divide-and-conquer strategies involve pitting groups against one another.,verb,B1,75.25,4254,66560,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
65,professional,전문적인,"I need your professional advice, Ruth.",adjective,A2,75.06,1877,27358,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
66,guess,짐작,I guess it was just a lucky guess.,other,B1,74.98,24152,266998,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
67,improve,개선하다,I've been trying to improve my drawing skills.,verb,A2,74.96,794,14205,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
68,previous,이전의,The agreement does not subsume any previous agreement.,adjective,B1,74.86,484,10960,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
69,achieve,달성하다,How can I help you achieve your goals?,verb,A2,74.6,646,15190,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
70,encourage,격려하다,They encourage each other to take risks.,verb,A2,74.34,673,11978,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
71,deliberately,의도적으로,Infinite scrolling is deliberately addictive.,adverb,B2,74.28,319,5195,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
72,ultimately,궁극적으로,All these things are ultimately mutable.,adverb,B2,74.26,288,5946,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
73,assume,가정하다,I assumed you already knew.,other,B1,73.66,2910,40346,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
74,cut,자르다,Tom independently cut out and ordered the pictures.,other,B1,73.08,13434,178669,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
75,after,~후에,They finally succeeded after many months of travail.,other,A2,72.76,34815,572761,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
76,rest,쉼표,"When we can finally sleep, we will rest.",other,B1,72.64,11472,168541,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
77,inevitable,불가피한,I think we're just prolonging the inevitable.,adjective,B1,72.49,288,4826,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
78,laugh,웃다,We don't know whether to laugh or cry.,other,B1,72.44,7656,267918,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
79,least,가장적게,"Phew, you at least, you listen to me!",other,B1,72.42,10596,162905,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
80,sometime,어디선가,Would you like to grab a coffee sometime?,other,B1,72.3,10828,145921,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
81,cause,빚다,I want to contribute to a charitable cause.,other,B2,72.29,18138,164417,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
82,part,부분,Organization is a major part of the equation.,noun,A2,72.26,15051,220399,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
83,later,나중에,We're all going to die sooner or later.,other,B2,72.22,14889,209129,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
84,hate,타기,"I hate to say it, but Tom's right.",other,B1,72.13,10944,128153,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
85,half,절반,Is your glass half full or half empty?,other,B1,72.08,10156,138527,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
86,kind,종류,We met the kind old Archbishop of York.,other,A2,72.02,31246,409414,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
87,welcome,환영,Welcome to Austria. Please don't feed the kangaroos.,other,B1,71.99,9431,145763,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
88,stupid,구차,"""That's stupid."" ""It's sad, more than anything.""",other,B1,71.83,9408,131497,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
89,fall,떨어지다,I can't fall asleep with the lights on.,other,B1,71.82,9182,134950,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
90,require,요구하다,Both vaccines require two doses for full potency.,verb,B1,71.82,1633,27700,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
91,relationship,관계,Tom and Mary are in an open relationship.,noun,B1,71.7,4061,64669,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
92,able,할 수 있는,I'd like to be able to understand everything.,other,B1,71.68,8155,147205,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
93,sort,분류하다,I'm still trying to sort my schedule out.,other,B1,71.55,8253,132393,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
94,bet,걸다,I bet most people would agree with you.,other,B1,71.54,9731,102613,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
95,done,완료된,Yankev says he's done. Do you buy it?,other,A2,71.5,24737,408760,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
96,lose,잃다,We can't afford to lose ground right now.,other,A2,71.49,25563,386837,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
97,lie,소굴,It's OK to lie to authority figures.,other,B1,71.47,8016,130757,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
98,far,극동의,How far away is New York in miles?,other,B2,71.41,11311,183480,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
99,inside,내부에,I heard shots coming from inside the building.,other,B2,71.26,10910,175518,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
100,appropriate,적절한,Many drag shows are appropriate for children.,adjective,A2,71.22,671,9710,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
101,relevant,관련 있는,Enshittification is why search results aren't relevant anymore.,adjective,B2,71.21,286,5068,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
102,till,까지,I have to wait till next year.,other,B1,71.16,8519,97044,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
103,record,등기,She dreams of starting her own record label.,other,B1,71.14,7608,113661,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
104,goes,가다,Gender violence goes hand-in-hand with authoritarianism.,other,B2,71.07,11081,151195,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
105,trust,신뢰,I know them well; you can trust them.,other,B2,71.06,10426,163840,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
106,serious,중한,I've never been very serious about learning French.,other,B1,71.06,7566,108774,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
107,next,다음,The congress is to be held next year.,other,A2,71.05,23090,335573,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
108,top,극점,The view from the mountain top was breathtaking.,other,B1,71.02,7274,111897,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
109,sex,성교,Try using “sex” in a sentence of your own today.,other,B1,70.97,7821,97065,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
110,dead,쓸모없이된,The only good fascist is a dead fascist.,other,A2,70.95,22907,317589,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
111,hang,걸다,"If you hang around, you'll probably find someone with a cigarette sooner or later.",other,B2,70.94,10858,142193,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
112,secret,내밀,Trump's secret police are now literally disappearing protesters.,other,B1,70.89,6822,112510,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
113,crucial,결정적인,Data protection is crucial in the modern age.,adjective,B2,70.89,234,5474,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
114,charge,고소,Captain Jackson is in charge of the flagship.,other,B1,70.83,7122,101875,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
115,ass,마보,What a pain in the ass!,other,B2,70.82,12124,111686,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
116,tire,타이어,Don't forget we need a spare tire.,other,B1,70.82,6927,105421,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
117,land,땅,Israel is the land of all authentic prophets.,other,B1,70.76,6321,115465,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
118,though,비록,"Though born there, Tom has always hated Boston.",other,B2,70.71,9279,154479,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
119,past,수상쩍은,"In the past, I would have thought differently.",other,B1,70.66,6356,107137,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
120,tried,시도했다,Tom tried to win Mary back several times.,other,B2,70.57,9529,135401,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
121,lead,이끌다,Strict abortion laws lead to higher maternal mortality.,other,B1,70.55,6342,99895,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
122,count,논점,Tom learned how to count cards from his father.,other,B1,70.55,6697,92290,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
123,substantial,상당한,Try using “substantial” in a sentence of your own today.,adjective,B1,70.54,182,2582,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
124,win,이기다,Tom tried to win Mary back several times.,other,B2,70.51,9136,138182,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
125,country,나라,Kabylie is a country in its own right.,noun,A2,70.35,8791,136786,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
126,whole,날조한,Tom seems quite chipper about the whole situation.,other,A2,70.29,19660,257109,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
127,outside,바깥,I can't sleep because it's too bright outside.,other,B2,70.27,8679,127251,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
128,scar,낭떠러지,The betrayal left a scar that would never heal.,other,B2,70.26,8414,131591,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
129,died,죽었다,The last god died millions of years ago.,other,B2,70.22,8018,138432,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
130,beat,불수진,He smiled and her heart skipped a beat.,other,B2,70.18,8643,120310,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
131,present,소개하다,Troy was a city in present-day Turkey.,other,B1,70.16,5997,84170,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
132,general,일반적인,Tom is a brigadier general in the army.,other,B1,70.12,6091,80000,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
133,push,밀다,Push me so that I can pull you!,other,B1,70.09,5760,85019,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
134,absolutely,단연,Islam is absolutely antinomic to freedom of worship.,other,B1,70.09,5769,84856,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
135,while,~하는 동안,"Don't even think about driving while intoxicated, Tom.",other,A2,70.07,17826,255970,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
136,fundamental,근본적인,That's the fundamental difference between the two.,adjective,B2,70.03,194,4076,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
137,mess,혼란,You picked the wrong person to mess with!,other,B1,70.01,5617,83844,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
138,worth,고하,I'm not sure it's worth looking into.,other,B1,70.0,5629,82824,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
139,future,미래,What does the future look like to you?,other,B1,69.98,5361,87991,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
140,traditional,전통적인,Couscous is the traditional dish of Kabylie.,adjective,A2,69.97,415,8545,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
141,protect,지키다,The cats will protect us from the phantoms.,other,B1,69.96,5098,93676,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
142,none,아무것도 아닌,None of the people interviewed knew Tom personally.,other,B1,69.96,5641,80315,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
143,myself,나 자신,"Hmm... I said that to myself here, too!",other,A2,69.93,17470,240460,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
144,arrest,구류,The Jackson family fell into disrepute after Tom's arrest.,other,B1,69.87,5150,86561,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
145,pain,통증,It was a real pain in the butt.,other,B1,69.85,5283,82462,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
146,mile,마일,I saw that coming a mile away.,other,B1,69.84,5571,75397,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
147,unless,외에는,Tom wouldn't say that unless he meant it.,other,B1,69.83,5798,70979,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
148,calm,고요,The waves were calm and perfect for paddleboarding.,other,B1,69.73,4743,89218,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
149,hop,도약,Hop in the back seat.,other,B1,69.73,5374,73923,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
150,alone,혼자,The separation left him feeling lost and alone.,other,A2,69.7,15735,240475,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
151,service,서비스,What is PALS (Patient Advice and Liaison Service)?,other,B1,69.7,5195,76135,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
152,reach,도달하다,May the scourge of scarcity reach the haves!,other,B1,69.68,4843,83385,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
153,judge,사사,Tom convinced the judge to nullify the contract.,other,B1,69.66,5111,76086,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
154,vulnerable,취약한,Did the mission reach the most vulnerable?,adjective,C1,69.6,437,7998,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
155,maintain,유지하다,They worked tirelessly to maintain law and order.,verb,B1,69.56,926,14272,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
156,rid,제거하다,They got rid of their comments section.,other,B1,69.52,5070,70270,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
157,stuff,재료,"What was that stuff you just snorted, anyway?",other,A2,69.5,16293,200539,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
158,bit,비트,My new phone case is a bit naff.,other,A2,69.49,13067,275702,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
159,die,죽다,George H. W. Bush didn't die soon enough.,other,A2,69.49,14593,234323,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
160,prove,증명하다,The incipient movement has a lot to prove.,other,B1,69.48,4772,74612,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
161,security,보안,I've identified several vulnerabilities in the Pentagon's security.,other,B1,69.48,4880,72507,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
162,treat,대하다,"Never treat anyone like royalty, especially not royalty.",other,B1,69.44,4787,72198,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
163,deal,도르다,He used to laugh a good deal.,other,A2,69.38,15269,203256,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
164,waste,낭비,Don't waste your time on that pipe dream.,other,B1,69.37,4740,70249,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
165,swear,다짐하다,Tom put a dollar in the swear jar.,other,B1,69.36,4738,69714,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
166,soul,기백,"""I refuse to sell my soul,"" Tom declared.",other,B1,69.34,4681,70131,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
167,patient,환자,What is PALS (Patient Advice and Liaison Service)?,other,B1,69.32,4757,67371,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
168,weapon,무기,Comedy can be used as a weapon.,other,B1,69.3,4444,73812,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
169,valid,유효한,That's a valid point you brought up there.,adjective,B2,69.3,164,3198,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
170,chief,수장,Tom met the Chief Rabbi of his country.,other,B1,69.29,4215,79056,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
171,round,한판,Is there a greetings card shop round here?,other,B1,69.28,4121,81121,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
172,army,군대,The Russian army has no business in Ukraine.,other,B1,69.26,4548,69491,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
173,responsibility,책임,I don't take any responsibility at all.,noun,B1,69.26,2144,32853,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
174,totally,완전히,It's totally right to say that Erdogan brings disease.,other,B1,69.24,4377,72478,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
175,grab,잡다,Would you like to grab a coffee sometime?,other,B1,69.24,4686,65249,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
176,completely,바싹,Tom is a completely different person in Esperanto.,other,B1,69.21,4303,72777,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
177,respect,개소,Mary knows that beauty starts with self-respect.,other,B1,69.21,4374,70898,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
178,forgive,삭히다,"I forgive him now, but it took years.",other,B1,69.15,4110,74915,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
179,near,측근,It was damn near one in the morning.,other,B1,69.15,4304,70049,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
180,break,부수다,Break free from the chains that bind you!,other,A2,69.14,14390,189473,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
181,george,보석상,George H. W. Bush didn't die soon enough.,other,B2,69.08,7474,71785,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
182,crazy,반한,I was angry: I began to go crazy!,other,A2,69.07,13933,189439,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
183,breath,호흡,He took a deep breath before the duel.,other,B1,69.06,4031,72569,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
184,set,설정하다,"Wherever he set foot, he was at home.",other,A2,69.04,13665,191328,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
